                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 0.5232,                0.39785,                0.84685,                0.90547,                0.89198,                0.93187,                0.83279,                0.51558,                0.44546,                0.83763,               0.005974,               0.005974,               0.005974
                    125,                0.52619,                0.40209,                0.84993,                0.89775,                0.88238,                0.93215,                0.83415,                0.50827,                0.44079,                0.83415,               0.005941,               0.005941,               0.005941
                    126,                0.52565,                0.39701,                0.84632,                0.89566,                0.89341,                0.93106,                0.83521,                0.50478,                0.44147,                0.83508,               0.005908,               0.005908,               0.005908
                    127,                0.52226,                0.39471,                0.84727,                0.89705,                0.89867,                0.93566,                0.83691,                0.51013,                 0.4366,                0.83709,               0.005875,               0.005875,               0.005875
                    128,                0.52478,                0.39872,                0.85029,                0.89964,                0.89502,                0.93347,                0.83657,                0.50674,                0.44168,                0.83444,               0.005842,               0.005842,               0.005842
                    129,                0.51812,                0.39061,                0.84875,                0.89172,                0.90637,                0.93542,                0.84051,                0.50376,                0.43704,                0.83398,               0.005809,               0.005809,               0.005809
                    130,                0.52047,                0.39595,                0.84729,                0.91369,                0.88139,                0.93331,                0.83756,                 0.5094,                0.43274,                0.83538,               0.005776,               0.005776,               0.005776
                    131,                0.52077,                0.39344,                0.84918,                0.89172,                0.88939,                0.93507,                0.83958,                0.50451,                0.43591,                0.83338,               0.005743,               0.005743,               0.005743
                    132,                0.51687,                0.39017,                0.84729,                0.89265,                0.89417,                 0.9327,                0.83596,                0.50737,                0.43288,                0.83583,                0.00571,                0.00571,                0.00571
                    133,                0.51827,                0.38935,                0.84684,                0.89393,                0.90188,                0.93534,                0.84009,                0.50275,                0.43142,                0.83337,               0.005677,               0.005677,               0.005677
                    134,                0.51849,                0.38849,                0.84841,                0.88088,                0.90741,                0.93484,                0.83813,                0.50511,                0.42668,                 0.8348,               0.005644,               0.005644,               0.005644
                    135,                0.51686,                0.39034,                0.84759,                0.90049,                0.89314,                0.93653,                 0.8393,                0.50339,                0.43191,                 0.8346,               0.005611,               0.005611,               0.005611
                    136,                0.51135,                0.38691,                0.84688,                0.90419,                0.89435,                0.93758,                0.84135,                0.50468,                0.42411,                 0.8318,               0.005578,               0.005578,               0.005578
                    137,                0.51471,                0.38317,                0.84551,                 0.9241,                0.88696,                0.93386,                0.83762,                0.50524,                0.43075,                0.83368,               0.005545,               0.005545,               0.005545
                    138,                0.51506,                0.38355,                0.84535,                 0.9194,                0.88079,                0.93354,                0.83351,                 0.5071,                 0.4339,                0.83466,               0.005512,               0.005512,               0.005512
                    139,                0.51203,                0.38412,                0.84329,                0.92343,                0.88671,                0.93326,                0.83674,                0.50301,                0.43307,                0.83515,               0.005479,               0.005479,               0.005479
                    140,                0.50791,                0.38156,                0.84376,                0.90645,                0.88385,                0.93337,                0.83823,                0.50191,                0.42692,                0.83538,               0.005446,               0.005446,               0.005446
                    141,                0.51022,                0.37931,                0.84403,                0.91863,                0.88764,                0.93393,                0.83951,                 0.5016,                0.42345,                0.83447,               0.005413,               0.005413,               0.005413
                    142,                0.50798,                0.37914,                 0.8458,                 0.9066,                0.89909,                0.93047,                0.83352,                0.50664,                0.43342,                0.83752,                0.00538,                0.00538,                0.00538
                    143,                0.50813,                0.37618,                0.84271,                0.88894,                0.89877,                0.92883,                0.83152,                 0.5034,                0.43664,                0.83388,               0.005347,               0.005347,               0.005347
