                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.70406,                0.64431,                0.91575,                0.85824,                 0.8526,                0.90349,                0.78014,                0.59178,                0.55018,                0.87349,               0.007261,               0.007261,               0.007261
                     86,                0.70216,                0.64186,                0.91677,                0.84743,                0.86616,                0.90388,                 0.7859,                0.59121,                0.54422,                0.87371,               0.007228,               0.007228,               0.007228
                     87,                0.70528,                0.64999,                0.91737,                0.87971,                0.84419,                0.89999,                 0.7708,                0.59343,                0.53992,                0.87466,               0.007195,               0.007195,               0.007195
                     88,                0.70208,                0.63872,                0.91724,                0.85714,                 0.8593,                0.90043,                0.78033,                0.59032,                0.54442,                0.87374,               0.007162,               0.007162,               0.007162
                     89,                0.70275,                0.63639,                0.91372,                 0.8702,                0.84944,                 0.8996,                0.77847,                0.59664,                0.54565,                0.87491,               0.007129,               0.007129,               0.007129
                     90,                0.69423,                0.63301,                0.91322,                0.86164,                0.86396,                0.90671,                0.78741,                0.58581,                 0.5397,                0.87154,               0.007096,               0.007096,               0.007096
                     91,                0.69668,                0.63301,                0.91445,                0.85328,                 0.8524,                0.90704,                0.78506,                 0.5948,                0.55507,                0.87147,               0.007063,               0.007063,               0.007063
                     92,                 0.6931,                0.62782,                0.91191,                0.86953,                0.84344,                0.90475,                0.79043,                0.58641,                0.53324,                0.87116,                0.00703,                0.00703,                0.00703
                     93,                0.69383,                0.63064,                0.91279,                0.86407,                0.85227,                 0.9011,                0.77508,                0.59491,                0.55305,                0.87333,               0.006997,               0.006997,               0.006997
                     94,                0.69323,                0.62781,                0.91139,                0.87475,                0.84865,                0.90384,                0.78308,                0.58762,                0.53789,                0.86951,               0.006964,               0.006964,               0.006964
                     95,                0.68536,                0.62137,                0.91052,                0.87006,                0.85442,                0.90261,                0.78166,                0.58468,                0.53818,                0.87066,               0.006931,               0.006931,               0.006931
                     96,                0.68802,                0.62655,                0.90943,                 0.8625,                0.84295,                0.90503,                 0.7823,                 0.5882,                0.54249,                0.86884,               0.006898,               0.006898,               0.006898
                     97,                0.68552,                0.62115,                 0.9101,                 0.8555,                0.85779,                0.90712,                0.78637,                0.58176,                0.52961,                0.86638,               0.006865,               0.006865,               0.006865
                     98,                0.68437,                0.62453,                0.90878,                0.85178,                0.86523,                0.90193,                0.77902,                0.58347,                0.53744,                 0.8671,               0.006832,               0.006832,               0.006832
                     99,                0.68422,                0.61631,                0.90801,                0.87184,                0.84757,                0.90228,                0.77945,                0.57955,                 0.5343,                0.86546,               0.006799,               0.006799,               0.006799
